1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
-1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-1	0	3	1	1	1	1	1	1	1	1	1	1	1	1	1
-1	0	1	4	2	2	2	2	2	2	2	2	2	2	2	2
-1	0	1	2	5	3	3	3	3	3	3	3	3	3	3	3
-1	0	1	2	3	6	4	4	4	4	4	4	4	4	4	4
-1	0	1	2	3	4	7	5	5	5	5	5	5	5	5	5
-1	0	1	2	3	4	5	8	6	6	6	6	6	6	6	6
-1	0	1	2	3	4	5	6	9	7	7	7	7	7	7	7
-1	0	1	2	3	4	5	6	7	10	8	8	8	8	8	8
-1	0	1	2	3	4	5	6	7	8	11	9	9	9	9	9
-1	0	1	2	3	4	5	6	7	8	9	12	10	10	10	10
-1	0	1	2	3	4	5	6	7	8	9	10	13	11	11	11
-1	0	1	2	3	4	5	6	7	8	9	10	11	14	12	12
-1	0	1	2	3	4	5	6	7	8	9	10	11	12	15	13
-1	0	1	2	3	4	5	6	7	8	9	10	11	12	13	16
